Companies,Nominal,Montant 2016,Variation2016,Montant 2017,Variation2017,Montant 2018,Variation2018,Montant 2019,Variation2019,Montant 2020,Variation2020,Montant 2021,Variation2021,Montant 2022,Variation2022,DL 2016,DL 2017,DL 2018,DL 2019,DL 2020,DL 2021,DL 2022,Average DL,Growth Rate 2017,Growth Rate 2018,Growth Rate 2019,Growth Rate 2020,Growth Rate 2021,Growth Rate 2022
ADWYA,1.0,0.24,-0.1111111111111112,0.195,-0.25999999999999995,0.15,0.10810810810810796,0.1,-0.33333333333333326,0.1,-0.4584905660377359,0.1,1.787456445993032,0.08,-0.20000000000000004,0.24,0.195,0.15,0.1,0.1,0.1,0.08,0.13785714285714284,-0.18749999999999994,-0.23076923076923084,-0.33333333333333326,0.0,0.0,-0.20000000000000004
Air Liquide Tunisie ,25.0,5.0,-0.03846153846153849,3.7,-0.25999999999999995,4.1,0.10810810810810796,4.5,0.0975609756097562,4.5,-0.4584905660377359,4.5,1.787456445993032,5.5,0.2222222222222222,0.2,0.14800000000000002,0.16399999999999998,0.18,0.18,0.18,0.22,0.1817142857142857,-0.25999999999999995,0.10810810810810796,0.0975609756097562,0.0,0.0,0.2222222222222222
Amen Bank ,5.0,1.1,0.10000000000000009,1.15,0.04545454545454529,1.25,0.08695652173913052,1.35,0.08000000000000007,1.75,-0.4584905660377359,2.15,1.787456445993032,1.45,-0.3255813953488372,0.22000000000000003,0.22999999999999998,0.25,0.27,0.35,0.43,0.29,0.29142857142857137,0.04545454545454529,0.08695652173913052,0.08000000000000007,0.2962962962962962,0.2285714285714285,-0.3255813953488372
Arab Tunisian Bank -ATB-,1.0,0.23,0,0.23,0.0,0.23,0.0,0.07,-0.6956521739130435,0.07,-0.4584905660377359,0.07,1.787456445993032,0.07,1.6666666666666667,0.23,0.23,0.23,0.07,0.07,0.07,0.07,0.1385714285714286,0.0,0.0,-0.6956521739130435,0.0,0.0,0.0
Arab Tunisian Lease ,1.0,0.22,0.09999999999999995,0.24,0.09090909090909087,0.25,0.041666666666666706,0.2,-0.19999999999999996,0.1375,-0.4584905660377359,0.075,1.787456445993032,0.2,1.6666666666666667,0.22,0.24,0.25,0.2,0.1375,0.075,0.2,0.1889285714285714,0.09090909090909087,0.041666666666666706,-0.19999999999999996,-0.3125,-0.4545454545454546,1.6666666666666667
ARTES,1.0,0.57,0.26666666666666655,0.52,-0.08771929824561392,0.615,0.18269230769230763,0.53,-0.13821138211382109,0.287,-0.4584905660377359,0.8,1.787456445993032,0.8,0.0,0.57,0.52,0.615,0.53,0.287,0.8,0.8,0.5888571428571429,-0.08771929824561392,0.18269230769230763,-0.13821138211382109,-0.4584905660377359,1.787456445993032,0.0
Attijari Bank ,5.0,1.5,0,2.0,0.3333333333333333,1.2,-0.4,2.2,0.8333333333333336,2.45,0.06666666666666674,2.7,0.06250000000000006,3.15,0.16666666666666655,0.3,0.4,0.24,0.44000000000000006,0.49000000000000005,0.54,0.63,0.4342857142857143,0.3333333333333333,-0.4,0.8333333333333336,0.11363636363636363,0.1020408163265306,0.16666666666666655
ATTIJARI LEASING,10.0,1.4,0.16666666666666663,1.4,0.0,1.2,-0.14285714285714282,1.2,0.0,0.85,0.06666666666666674,0.5,0.06250000000000006,1.2,1.4,0.13999999999999999,0.13999999999999999,0.12,0.12,0.08499999999999999,0.05,0.12,0.11071428571428572,0.0,-0.14285714285714282,0.0,-0.2916666666666667,-0.4117647058823529,1.4
Banque de l'Habitat -BH-,5.0,0.3, -,0.3,0.2,0.6,1.0,0.6,-0.37500000000000006,0.6,0.06666666666666674,0.6,0.06250000000000006,0.6,-0.19999999999999987,0.06,0.06,0.12,0.12,0.12,0.12,0.12,0.10285714285714286,0.0,1.0,0.0,0.0,0.0,0.0
Banque de Tunisie,1.0,0.3,0,0.36,0.2,0.4,0.11111111111111122,0.25,-0.37500000000000006,0.3,0.06666666666666674,0.35,0.06250000000000006,0.28,-0.19999999999999987,0.3,0.36,0.4,0.25,0.3,0.35,0.28,0.32,0.2,0.11111111111111122,-0.37500000000000006,0.19999999999999996,0.16666666666666663,-0.19999999999999987
