Date,High,Close,Low,Open
2013-03-15,9275.782,9270.837,9091.257,9236.628
2013-03-18,9297.946,9298.436,9170.397,9289.857
2013-03-19,9301.304,9216.048,9196.745,9296.083
2013-03-21,9309.09,9301.699,9175.077,9218.749
2013-03-22,9376.22,9379.06,9252.937,9329.208
2013-03-25,9416.136,9398.661,9384.169,9413.02
2013-03-26,9401.614,9368.83,9352.108,9397.599
2013-03-27,9421.153,9424.364,9293.248,9371.705
2013-03-28,9420.542,9409.102,9276.93,9424.309
2013-03-29,9406.378,9283.258,9236.719,9269.425
2013-04-01,9398.098,9298.323,9267.988,9390.607
2013-04-02,9413.529,9400.14,9357.435,9414.009
2013-04-03,9291.58,9266.16,9204.541,9294.545
2013-04-04,9597.128,9589.824,9174.093,9277.94
2013-04-05,9744.371,9733.435,9464.448,9597.257
2013-04-08,9792.422,9711.9,9626.967,9719.321
2013-04-10,9756.56,9636.882,9538.481,9754.809
2013-04-11,9633.107,9627.871,9487.137,9567.029
2013-04-12,9678.577,9662.6,9453.178,9596.027
2013-04-15,9638.941,9604.727,9450.554,9637.208
2013-04-16,9654.03,9474.618,9447.586,9650.889
2013-04-17,9565.458,9558.025,9271.874,9446.749
2013-04-18,9544.065,9496.267,9488.383,9518.269
2013-04-19,9493.253,9324.697,9275.19,9489.951
2013-04-22,9315.002,9316.328,9138.887,9308.208
2013-04-23,9317.123,9309.016,9162.55,9320.301
2013-04-24,9460.6,9435.994,9417.231,9446.539
2013-04-25,9424.619,9338.107,9104.167,9420.913
2013-04-26,9348.491,9185.108,9174.338,9349.053
2013-04-29,9201.89,9186.45,9097.651,9200.258
2013-04-30,9326.212,9298.502,9011.155,9119.866
2013-05-02,9290.402,9125.872,9124.516,9279.013
2013-05-03,9175.697,9174.743,8928.525,8971.912
2013-05-06,9172.478,8993.809,8993.967,9172.348
2013-05-07,9095.627,8947.837,8949.065,9069.923
2013-05-08,9059.576,9003.271,8933.185,8954.654
2013-05-09,9002.706,8895.531,8841.929,9005.796
2013-05-10,8966.811,8882.14,8881.064,8962.575
2013-05-13,8874.956,8715.411,8675.637,8869.122
2013-05-14,8714.194,8631.633,8599.136,8715.657
2013-05-15,8697.661,8675.46,8606.653,8642.132
2013-05-16,8701.38,8630.135,8604.418,8696.184
2013-05-17,8643.026,8585.936,8563.666,8643.188
2013-05-20,8595.347,8550.169,8549.176,8580.723
2013-05-21,8597.91,8538.622,8470.418,8525.164
2013-05-22,8555.809,8528.371,8523.478,8534.667
2013-05-23,8632.491,8553.962,8529.703,8523.625
2013-05-24,8607.835,8582.276,8533.597,8536.271
