Date,High,Close,Low,Open
2012-02-07,1414.968,1412.056,1402.646,1415.599
2012-02-08,1413.235,1403.668,1402.541,1411.002
2012-02-09,1409.577,1400.917,1387.658,1403.86
2012-02-10,1400.856,1386.015,1384.487,1401.381
2012-02-13,1393.175,1368.504,1361.938,1392.862
2012-02-14,1377.188,1374.872,1352.053,1366.412
2012-02-15,1397.211,1382.994,1379.848,1381.213
2012-02-16,1399.122,1394.547,1383.089,1385.225
2012-02-17,1402.272,1401.009,1388.727,1397.634
2012-02-20,1400.456,1392.059,1391.298,1400.203
2012-02-21,1397.666,1396.5,1385.075,1395.22
2012-02-22,1402.468,1396.66,1392.151,1395.489
2012-02-23,1399.743,1392.797,1386.618,1400.582
2012-02-24,1393.585,1392.246,1388.509,1391.319
2012-02-27,1395.116,1386.85,1385.424,1394.476
2012-02-28,1393.044,1390.037,1384.746,1389.508
2012-02-29,1396.535,1394.652,1389.675,1392.475
2012-03-01,1397.131,1393.383,1390.719,1394.767
2012-03-02,1396.524,1389.108,1388.819,1394.661
2012-03-05,1393.827,1386.308,1382.517,1394.087
2012-03-06,1388.659,1370.381,1367.945,1388.233
2012-03-07,1381.578,1378.489,1358.645,1372.722
2012-03-08,1377.172,1376.559,1368.168,1373.796
2012-03-09,1381.025,1380.269,1371.104,1380.213
2012-03-12,1379.698,1368.634,1360.945,1380.437
2012-03-13,1370.391,1357.789,1354.933,1369.682
2012-03-14,1385.098,1382.81,1359.507,1361.047
2012-03-15,1385.912,1380.143,1376.366,1385.408
2012-03-16,1388.148,1371.914,1372.557,1388.198
2012-03-19,1383.869,1361.647,1359.06,1384.001
2012-03-21,1373.192,1373.181,1351.283,1364.968
2012-03-22,1380.363,1362.018,1361.652,1374.407
2012-03-23,1366.606,1364.526,1360.636,1361.801
2012-03-26,1372.463,1368.237,1357.022,1365.445
2012-03-27,1373.768,1365.459,1361.975,1368.487
2012-03-28,1366.054,1365.65,1361.007,1365.333
2012-03-29,1371.555,1366.96,1356.142,1365.319
2012-03-30,1368.125,1352.754,1340.309,1367.39
2012-04-02,1392.835,1384.987,1364.866,1365.643
2012-04-03,1393.874,1377.384,1369.83,1378.659
2012-04-04,1379.282,1366.484,1364.284,1380.502
2012-04-05,1376.87,1362.351,1358.441,1371.037
2012-04-06,1408.333,1408.566,1358.479,1363.351
2012-04-10,1421.075,1380.539,1377.09,1409.608
2012-04-11,1383.26,1360.297,1358.731,1383.537
2012-04-12,1417.322,1416.357,1357.031,1362.126
2012-04-13,1453.84,1429.55,1426.371,1442.971
2012-04-16,1442.615,1425.99,1418.036,1432.796
2012-04-17,1446.251,1437.301,1427.621,1429.27
2012-04-18,1451.738,1451.369,1437.381,1437.94
2012-04-19,1469.843,1466.155,1453.848,1455.141
2012-04-20,1482.606,1482.197,1462.393,1467.83
2012-04-23,1482.377,1454.305,1450.603,1481.056
2012-04-24,1476.679,1476.391,1461.335,1464.166
2012-04-25,1511.823,1479.706,1471.396,1481.346
2012-04-26,1484.576,1460.418,1460.774,1476.504
2012-04-27,1465.408,1463.412,1448.096,1465.475
2012-04-30,1466.537,1462.532,1444.853,1466.143
2012-05-02,1485.807,1465.2,1459.161,1466.378
2012-05-03,1475.251,1463.623,1453.5,1475.279
2012-05-04,1466.098,1451.138,1434.188,1462.224
2012-05-07,1468.654,1464.949,1447.642,1451.642
2012-05-08,1459.793,1452.393,1446.103,1459.552
2012-05-09,1453.781,1442.417,1441.841,1452.522
2012-05-10,1452.734,1452.704,1437.04,1444.109
2012-05-11,1453.956,1451.18,1441.095,1454.071
2012-05-14,1456.014,1432.347,1428.709,1455.545
2012-05-15,1448.452,1440.85,1423.829,1431.808
2012-05-16,1457.536,1438.148,1431.951,1440.356
2012-05-17,1454.983,1438.184,1432.903,1438.469
2012-05-18,1443.155,1434.748,1432.35,1437.167
2012-05-21,1442.768,1433.504,1432.564,1435.765
2012-05-22,1439.189,1437.994,1429.606,1435.33
2012-05-23,1447.608,1428.254,1427.707,1438.746
2012-05-24,1428.816,1421.535,1421.072,1427.686
2012-05-25,1425.158,1414.113,1413.528,1425.071
2012-05-28,1414.228,1380.762,1377.629,1413.856
2012-05-29,1417.722,1413.614,1379.149,1379.195
2012-05-30,1419.674,1409.496,1403.909,1418.789
2012-05-31,1417.587,1407.062,1399.739,1413.892
2012-06-01,1416.288,1409.588,1400.727,1407.617
2012-06-04,1408.745,1406.498,1401.586,1406.201
2012-06-05,1428.255,1424.567,1407.956,1408.949
2012-06-06,1431.674,1431.222,1408.51,1424.546
2012-06-07,1438.797,1429.206,1425.056,1436.112
2012-06-08,1426.802,1425.056,1412.773,1427.553
2012-06-11,1427.294,1403.945,1400.545,1427.261
2012-06-12,1404.371,1394.097,1388.23,1403.607
2012-06-13,1411.178,1406.913,1386.379,1392.435
2012-06-14,1415.994,1414.434,1400.68,1405.151
2012-06-15,1419.15,1416.643,1401.018,1413.518
2012-06-18,1416.278,1411.484,1400.565,1405.916
2012-06-19,1415.103,1413.955,1401.015,1410.706
2012-06-20,1416.143,1403.942,1398.68,1416.474
2012-06-21,1403.604,1394.302,1392.706,1404.135
2012-06-22,1404.126,1385.142,1381.459,1392.54
2012-06-25,1387.13,1375.14,1374.814,1386.128
2012-06-26,1378.554,1369.246,1360.651,1376.261
2012-06-27,1374.251,1361.189,1354.974,1373.979
2012-06-28,1360.963,1350.945,1340.41,1360.955
2012-06-29,1351.084,1339.452,1336.102,1351.376
2012-07-02,1355.926,1336.623,1335.843,1356.075
2012-07-03,1364.361,1363.479,1338.383,1338.731
2012-07-04,1372.078,1370.246,1360.366,1367.629
2012-07-05,1370.141,1358.215,1354.637,1358.701
2012-07-06,1365.773,1360.969,1348.818,1366.136
2012-07-09,1381.352,1367.878,1360.571,1378.512
2012-07-10,1369.705,1362.758,1350.979,1365.578
2012-07-11,1363.168,1358.723,1352.925,1363.859
2012-07-12,1360.588,1359.952,1351.876,1358.706
2012-07-13,1371.559,1371.359,1357.848,1360.07
2012-07-16,1378.815,1378.003,1365.317,1367.206
2012-07-17,1378.096,1372.478,1366.467,1373.991
2012-07-18,1392.544,1392.508,1360.374,1371.969
2012-07-19,1392.881,1391.931,1381.409,1392.898
2012-07-20,1401.484,1400.676,1389.895,1392.022
2012-07-23,1418.707,1414.488,1398.189,1402.805
2012-07-24,1418.96,1412.713,1410.277,1412.74
2012-07-26,1442.41,1442.902,1411.486,1418.001
2012-07-27,1497.042,1491.841,1434.971,1437.142
2012-07-30,1542.173,1494.25,1487.097,1517.132
2012-07-31,1496.261,1470.989,1464.193,1492.175
2012-08-01,1481.199,1473.154,1453.005,1471.994
2012-08-02,1485.35,1479.717,1456.441,1465.437
2012-08-03,1485.431,1482.802,1461.194,1475.74
2012-08-06,1491.578,1485.92,1465.155,1482.753
2012-08-07,1489.967,1476.646,1469.962,1486.788
2012-08-08,1480.952,1478.197,1470.422,1477.102
2012-08-09,1479.415,1471.359,1467.417,1478.445
2012-08-10,1471.735,1462.757,1457.355,1472.14
2012-08-14,1470.179,1465.511,1454.658,1465.431
2012-08-15,1467.084,1456.529,1455.555,1466.034
2012-08-16,1462.546,1456.5,1452.516,1456.0
2012-08-17,1457.928,1457.835,1441.805,1454.396
2012-08-21,1457.382,1448.881,1447.961,1450.332
2012-08-22,1452.54,1453.529,1446.631,1448.297
2012-08-23,1454.159,1447.819,1445.663,1452.88
2012-08-24,1451.732,1448.247,1436.784,1447.393
2012-08-27,1453.393,1439.086,1440.134,1450.492
2012-08-28,1442.618,1440.699,1434.911,1439.826
2012-08-29,1444.452,1435.813,1433.034,1434.198
2012-08-30,1449.765,1449.312,1435.468,1436.785
2012-08-31,1473.162,1467.186,1452.314,1451.954
2012-09-03,1468.172,1464.53,1452.117,1466.688
2012-09-04,1464.64,1460.411,1456.437,1465.112
2012-09-05,1472.609,1468.033,1453.652,1459.132
2012-09-06,1476.301,1467.011,1462.381,1468.135
2012-09-07,1471.117,1470.729,1456.993,1467.62
2012-09-10,1472.101,1457.292,1456.568,1470.059
2012-09-11,1457.322,1446.474,1440.174,1456.187
2012-09-12,1447.877,1442.307,1437.487,1447.09
2012-09-13,1445.26,1443.859,1433.823,1443.46
2012-09-14,1444.149,1437.622,1432.293,1443.27
2012-09-17,1435.178,1433.25,1417.23,1435.313
2012-09-18,1436.246,1420.276,1421.408,1435.392
2012-09-19,1425.226,1405.22,1385.217,1422.062
2012-09-20,1418.659,1401.936,1362.836,1403.766
2012-09-21,1421.517,1415.841,1401.992,1409.274
2012-09-24,1424.033,1414.74,1410.567,1416.31
2012-09-25,1426.582,1412.828,1411.834,1421.308
2012-09-26,1419.025,1409.903,1404.911,1414.214
2012-09-27,1408.491,1408.291,1399.701,1408.334
2012-09-28,1405.393,1403.538,1399.208,1402.463
2012-10-01,1422.766,1402.908,1397.132,1423.613
2012-10-02,1398.203,1391.485,1386.196,1396.773
2012-10-03,1394.186,1393.245,1373.736,1392.049
2012-10-04,1393.721,1390.63,1372.773,1393.839
2012-10-05,1405.685,1405.301,1386.532,1389.952
2012-10-08,1411.885,1409.94,1398.749,1405.7
2012-10-09,1413.307,1409.397,1396.228,1413.341
2012-10-10,1412.556,1399.447,1393.466,1409.869
2012-10-11,1400.832,1375.298,1374.712,1400.825
2012-10-12,1394.547,1394.696,1365.068,1373.926
2012-10-16,1406.829,1406.816,1393.199,1395.058
2012-10-17,1405.067,1399.91,1387.745,1404.006
2012-10-18,1397.304,1394.314,1386.492,1395.074
2012-10-19,1393.553,1380.578,1376.081,1393.788
2012-10-22,1389.162,1387.757,1374.519,1381.39
2012-10-23,1411.011,1409.812,1391.823,1392.63
2012-10-24,1426.651,1418.298,1407.897,1422.997
2012-10-25,1426.379,1416.065,1409.93,1417.9
2012-10-29,1448.049,1443.678,1422.824,1422.794
2012-10-30,1450.161,1422.216,1421.767,1443.778
2012-10-31,1426.204,1426.155,1414.39,1422.691
2012-11-01,1428.588,1426.284,1421.72,1426.578
