Nom,Ouverture,+Haut,+Bas,Volume (titres),Volume (DT),Dernier,Variation
ADWYA,5.95,5.95,5.95,9 422,56061,5.95,0.00%
AETECH,0.34,0.35,0.34,320,112,0.35,0.00%
AIR LIQUIDE TUNISIE,80.0,83.0,80.0,4,332,83.0,3.75%
AMEN BANK,36.74,37.85,36.74,1 517,56812,37.45,-6.28%
AMI,1.77,1.77,1.77,1 304,2308,1.77,-14.90%
AMS,0.95,0.95,0.95,1 574,1495,0.95,0.00%
ARAB TUNISIAN BANK,2.95,3.01,2.95,33 347,99708,2.99,1.36%
ARAB TUNISIAN LEASE,3.93,3.93,3.9,1 540,6052,3.93,0.00%
ARTES,6.9,6.9,6.8,2 030,14007,6.9,0.00%
ASSAD,0.74,0.74,0.73,3 400,2482,0.73,-1.35%
ASSURANCES MAGHREBIA,49.0,49.0,48.01,4,192,48.01,-2.02%
ASTREE,47.95,47.99,47.95,107,5135,47.99,0.08%
ATTIJARI LEASING,18.9,18.9,18.9,157,2967,18.9,0.00%
BANQUE ATTIJARI DE TUNIS,48.5,48.9,48.5,5 364,262300,48.9,0.82%
BANQUE DE TUNISIE,5.0,5.06,5.0,33 330,168317,5.05,1.00%
BANQUE NATIONALE AGRICOLE,8.98,9.0,8.88,10 841,97569,9.0,0.22%
BEST LEASE,2.29,2.29,2.29,5,11,2.29,0.00%
BH ASSURANCE,48.75,48.75,48.75,19,926,48.75,0.00%
BH BANK,13.05,13.05,12.7,330,4191,12.7,-2.68%
BH LEASING,3.24,3.37,3.2,4 757,16031,3.37,8.36%
BIAT,90.25,91.0,90.25,4 484,405757,90.49,0.27%
BTE (ADP),4.1,4.1,4.1,250,1025,4.1,0.00%
CARTHAGE CEMENT,1.83,1.86,1.82,20 575,37858,1.84,0.55%
CELLCOM,1.8,1.8,1.8,1 093,1967,1.8,0.00%
CEREALIS,13.3,13.3,13.3,42,559,13.3,0.00%
CIL,20.39,20.4,20.0,317,6467,20.4,0.05%
CIMENTS DE BIZERTE,0.61,0.61,0.59,2 307,1361,0.59,-3.28%
CITY CARS,13.49,13.49,13.32,611,8242,13.49,0.00%
DELICE HOLDING,11.1,11.1,10.88,37 141,411894,11.09,-0.09%
ELBENE,2.28,2.28,2.28,20,46,2.28,10.14%
